infectedAgentId,infectedAgentProfession,originAgentId,originAgentProfession,location,lat,lon,nodeId,exposedTimeStamp,exposedDay,exposedHour,exposedMinute,incubationDuration,infectiousTimeStamp,infectiousDay,infectiousHour,infectiousMinute,recoveryDuration,recoveredTimeStamp,recoveredDay,recoveredHour,recoveredMinute,symptomaticTimeStamp,symptomaticDay,symptomaticHour,symptomaticMinute,severeTimeStamp,severeDay,severeHour,severeMinute
3959,salaryman,3959,salaryman,Initial,36.0936988923077,140.10510603846154,141,0,0,0,0,0,0,0,0,0,712800,712800,8,6,0,5100,0,1,25,235500,2,17,25
813,university_student,813,university_student,Initial,36.10556775,140.10524255,1158,0,0,0,0,0,0,0,0,0,396000,396000,4,14,0,264900,3,1,35,0,0,0,0
4483,salaryman,4483,salaryman,Initial,36.11851675,140.0964293,760,0,0,0,0,0,0,0,0,0,291600,291600,3,9,0,0,0,0,0,0,0,0,0
4590,salaryman,4590,salaryman,Initial,36.08739965,140.110048175,387,0,0,0,0,0,0,0,0,0,968400,968400,11,5,0,259200,3,0,0,0,0,0,0
358,student,358,student,Initial,36.086553450000004,140.11464317499997,32,0,0,0,0,0,0,0,0,0,1008000,1008000,11,16,0,176400,2,1,0,0,0,0,0
682,university_student,682,university_student,Initial,36.106794574999995,140.10742785,1447,0,0,0,0,0,0,0,0,0,460800,460800,5,8,0,0,0,0,0,0,0,0,0
796,university_student,796,university_student,Initial,36.107639975,140.10545209999998,1069,0,0,0,0,0,0,0,0,0,500400,500400,5,19,0,151500,1,18,5,0,0,0,0
3809,salaryman,3809,salaryman,Initial,36.081412650000004,140.11804782500002,100,0,0,0,0,0,0,0,0,0,421200,421200,4,21,0,6300,0,1,45,0,0,0,0
1540,university_student,1540,university_student,Initial,36.10260670833333,140.09934973333336,1092,0,0,0,0,0,0,0,0,0,460800,460800,5,8,0,416700,4,19,45,0,0,0,0
4830,restaurant_worker,4830,restaurant_worker,Initial,36.087443225,140.10185525,835,0,0,0,0,0,0,0,0,0,640800,640800,7,10,0,96000,1,2,40,0,0,0,0
1472,university_student,3962,salaryman,restaurant,36.09822652380952,140.1050852595238,178,2244600,25,23,30,126000,2370600,27,10,30,370800,2741400,31,17,30,2391900,27,16,25,0,0,0,0
2962,salaryman_outside_city,2962,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,1943100,22,11,45,172800,2115900,24,11,45,1184400,3300300,38,4,45,2138700,24,18,5,0,0,0,0
4298,salaryman,2716,salaryman_outside_city,restaurant,36.09822652380952,140.1050852595238,178,447000,5,4,10,190800,637800,7,9,10,324000,961800,11,3,10,0,0,0,0,0,0,0,0
2825,salaryman_outside_city,2825,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,1428900,16,12,55,90000,1518900,17,13,55,1008000,2526900,29,5,55,1551300,17,22,55,2331900,26,23,45
2682,salaryman_outside_city,3077,salaryman_outside_city,restaurant,36.09812263333333,140.1080869,1220,545100,6,7,25,144000,689100,7,23,25,961200,1650300,19,2,25,725700,8,9,35,951900,11,0,25
2653,salaryman_outside_city,2824,salaryman_outside_city,On the Road,36.09567188672129,140.10269704298332,5300352849,670500,7,18,15,118800,789300,9,3,15,1159200,1948500,22,13,15,1212300,14,0,45,0,0,0,0
2588,salaryman_outside_city,2588,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,825300,9,13,15,129600,954900,11,1,15,1098000,2052900,23,18,15,1005000,11,15,10,1478400,17,2,40
2916,salaryman_outside_city,2451,salaryman_outside_city,On the Road,36.09207026566434,140.10436122016293,311752515,1361400,15,18,10,183600,1545000,17,21,10,763200,2308200,26,17,10,1779600,20,14,20,0,0,0,0
4558,salaryman,4287,salaryman,apartments,36.098790550000004,140.10048195000002,1701,1437900,16,15,25,136800,1574700,18,5,25,1119600,2694300,31,4,25,1680000,19,10,40,0,0,0,0
2767,salaryman_outside_city,2749,salaryman_outside_city,On the Road,36.09567188672129,140.10269704298332,5300352849,411300,4,18,15,237600,648900,7,12,15,1148400,1797300,20,19,15,800100,9,6,15,0,0,0,0
2694,salaryman_outside_city,2694,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,654600,7,13,50,194400,849000,9,19,50,424800,1273800,14,17,50,983100,11,9,5,1043100,12,1,45
2695,salaryman_outside_city,2703,salaryman_outside_city,On the Road,36.084921362094214,140.1049195681075,6072403252,1274700,14,18,5,208800,1483500,17,4,5,1148400,2631900,30,11,5,1524600,17,15,30,1921500,22,5,45
3074,salaryman_outside_city,2937,salaryman_outside_city,On the Road,36.10640007727222,140.10655636187116,1435112068-1439-1440-1441,1449000,16,18,30,198000,1647000,19,1,30,1083600,2730600,31,14,30,2004300,23,4,45,2389500,27,15,45
4344,salaryman,2739,salaryman_outside_city,residential,36.103129349999996,140.09846248333335,1674,1195200,13,20,0,90000,1285200,14,21,0,327600,1612800,18,16,0,0,0,0,0,0,0,0,0
1571,university_student,3108,salaryman_outside_city,apartments,36.09799511666667,140.1014784,1186,444900,5,3,35,108000,552900,6,9,35,385200,938100,10,20,35,788400,9,3,0,0,0,0,0
4277,salaryman,4198,salaryman,office,36.0852432,140.11585672500001,40,1238100,14,7,55,194400,1432500,16,13,55,842400,2274900,26,7,55,1607400,18,14,30,0,0,0,0
2745,salaryman_outside_city,2745,salaryman_outside_city,Going out of simulated area,36.082676766666665,140.11130317777778,10,2224200,25,17,50,172800,2397000,27,17,50,1152000,3549000,41,1,50,0,0,0,0,0,0,0,0
